PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality,Succ_Rate
0.934936968,6.27E-05,0.056552003,0.774036,0.823998206,0.000110904,9.92E-05,1.705286194,3.05E-05,0.00634,0.0333,27.0469,-3.52039,1
0.774203336,6.22E-05,0.047162001,0.84606,0.808082711,0.000108018,0.000100009,1.337310911,2.62E-05,0.000749,7.22E-18,27.5466,-0.0224775,0.8
0.823161536,0.000358789,0.033733502,0.781817,0.765853599,0.000113414,8.65E-05,1.134146713,6.29E-05,0.00177,-2.00E+05,29.2085,2.00E+07,1
0.982122849,0.000123011,0.046828502,0.967365,0.81869304,0.000123523,9.72E-05,1.516415677,1.92E-05,0.000669,-2.00E+05,29.4957,2.00E+07,1
0.573555575,0.000236734,0.0007955,1.50708,0.661872367,0.000114006,0.000106613,1.572131311,0.000124732,0.0066,0.045,19.0108,-4.69579,0.8
0.578065851,0.000246481,0.0044795,1.49431,0.670785044,0.000115733,0.000106105,1.314015574,0.000112877,0.00824,0.0247,20.9658,-2.71467,0
0.486322423,9.96E-05,0.0064205,1.52384,0.654020723,0.000112521,0.000102461,1.383571319,9.82E-05,0.0063,0.00694,23.1996,-0.883416,1
0.486322423,9.96E-05,0.0064205,1.52384,0.654020723,0.000112521,0.000102461,1.383571319,9.82E-05,0.0063,0.00694,23.1996,-0.883416,1
0.510284192,0.000327108,0.004514,1.48024,0.65423293,0.000118105,0.000100499,1.721738557,0.00014387,0.00761,0.0161,28.0841,-1.8383,0.2
0.714613875,0.000322911,0.036348501,1.36522,0.677787862,0.00011129,0.000102965,1.228080266,0.000104691,0.00565,-2.00E+05,27.9096,2.00E+07,0.9
0.409258043,0.000140209,0.077246003,1.38773,0.716621669,0.000124748,0.000103728,2.28029963,3.86E-05,0.00089,-2.00E+05,24.6393,2.00E+07,1
0.528546217,0.000143205,0.027213501,0.950648,0.739964394,0.00011815,0.000100301,1.802664859,8.91E-05,0.00469,-2.00E+05,27.4234,2.00E+07,1
