Shake Testing Results from Interface Testing												
Aug-13												
Data generation: Human's used spaceball to propose successful grasps												
"Hardware: WAM arm, Barrett hand"												
Grasp #	Point Arrangement	Triangle Size	Finger Extension	Finger Spread	Finger Limit	Perpendicular Symmetry	Parallel Symmetry	Skewness	Volume Object Enclosed	Wrench Space Volume	Epsilon	Energy
111	0	0	0.036454501	0	0.867076144	0.00014266	0.000153299	1.551232586	1.28E-07	0.000213	NaN	31.6187
112	0	0	0.032541501	0.019	0.860497739	0.000119309	0.000127169	1.607863157	1.19E-07	0.00145	NaN	26.7309
113	0	0	0.993138028	0.064	0.891904315	0.000140225	0.000130682	1.521008228	5.14E-08	0.00202	NaN	27.1535
114	0.8573894	0.000141879	0.040554501	0.189	0.866863938	0.000115692	8.89E-05	1.469466353	1.91E-05	0.000215	NaN	35.1776
115	0	0	0.049518501	0.235	0.876837648	0.000168702	0.000112679	1.545702764	1.56E-05	0.000852	NaN	36.3651
116	0.874357427	2.51E-05	0.101028503	0.076	0.831213229	0.0001262	7.58E-05	1.726304218	4.42E-07	0.000101	NaN	37.919
117	0	0.002160516	0.608378018	-0.017453293	0.838216048	0.000161816	0.0001985	1.384749553	0	0.00089	NaN	26.7018
118	0	0	5.37E-31	2.04466822	2.30E-15	0.000295	0.00038602	1.677105095	0	0	NaN	961.682
119	0.77820166	7.41E-05	0.0106155	0.005	0.84988741	0.000105323	0.00011243	1.674665939	1.51E-06	0.000363	NaN	24.692
120	0.699703368	1.05E-05	0.0016245	0	0.915459247	0.000128182	9.46E-05	1.569268027	2.42E-06	0.000261	NaN	21.3561
121	0.799602403	1.30E-05	0.0002	0	0.992702448	0.000105153	0.000112175	1.561157889	3.09E-08	0.000295	NaN	18.657
122	0.856116593	0.00013494	0.0272495	0	0.736144676	0.000134842	8.41E-05	1.546856615	1.04E-05	0.000505	NaN	68.0223
123	0.849094813	3.34E-05	0.0275445	0	0.921825445	0.000135171	0.000105579	1.630661549	7.66E-07	0.00027	NaN	22.7436
124	0.637814796	5.96E-06	0.0007085	0	0.960871458	0.000102457	0.000102004	1.392123961	4.56E-07	0.000283	NaN	20.041
125	0.545686873	4.49E-06	0.0006135	0	0.963205731	0.000127339	0.000101583	1.52184393	2.52E-07	0.000202	NaN	19.6439
126	0.406793354	2.43E-05	0.012248	0.022	0.946441411	0.000117589	0.000116322	1.626610198	2.58E-08	0.000241	NaN	18.9402
127	0.943004681	1.39E-05	0.041820651	0.378	0.822341909	0.000131975	9.28E-05	1.559556282	1.09E-05	0.000857	NaN	33.9613
128	0.481256257	3.96E-05	4.85E-05	0	0.97572592	0.00011914	0.000119484	1.662567295	8.98E-08	0.000216	NaN	18.7491
129	0.552837856	1.67E-05	0.0005615	0	0.968723102	0.000129489	0.000106749	1.572502717	1.51E-07	0.000173	NaN	19.1946
130	0.571901504	1.10E-05	0.0061355	0.013	0.937953146	0.000119284	0.000107494	1.565976805	1.11E-07	0.000238	NaN	19.192
131	0.926420984	0.000314648	0.021434001	0.194	0.763519326	0.000116074	9.12E-05	1.458835998	4.78E-05	0.00134	NaN	40.7101
132	0.887532006	0.000150856	0.013106001	0.242	0.758001954	0.000129598	9.49E-05	1.611384085	1.34E-05	0.000472	NaN	77.8672
133	0.592695934	2.71E-06	0.0020555	0.0922	0.962781318	0.000114691	0.000100911	1.487221796	4.00E-07	0.000544	NaN	20.0913
134	0.004617432	3.72E-07	0.0064385	3.147464141	0.920339999	0.000118781	9.76E-05	1.555530798	6.42E-07	2.10E-07	NaN	20.1151
135	0	0	0.032526001	2.94466822	0.718107115	0.000158069	0.000141657	1.791500273	1.54E-05	0.000525	NaN	24.6416
136	0.893243704	4.77E-05	0.0016055	0.016	0.866227318	0.000158815	8.56E-05	1.517871442	9.33E-06	0.000117	NaN	20.7804
137	0.592536358	3.31E-06	0.0007695	0.197	0.883628258	0.000158667	0.000103445	1.623635069	4.53E-06	0.000165	NaN	24.0784
138	0.649990691	1.09E-05	0.0002795	0.1	0.922249858	0.000135905	9.63E-05	1.631858296	2.52E-06	8.86E-05	NaN	21.1667
139	0.898956917	4.58E-05	0.054229502	0	0.84797755	0.000151909	0.000114817	1.565618902	1.69E-07	4.85E-05	NaN	18.0947
140	0.901399773	0.000123501	0.027423501	0.185	0.71280195	0.000177606	9.39E-05	1.641031657	1.66E-05	0.000266	NaN	36.6399
141	0.900943836	3.43E-05	0.0013265	0	0.918217933	0.000170325	0.000111494	1.565122718	5.14E-07	3.31E-05	NaN	18.9418
142	0.863002539	1.37E-05	0.0026295	0	0.929464883	0.000134029	0.000108803	1.506094216	1.03E-06	5.56E-05	NaN	20.0478
143	0.679433643	2.04E-05	0.0005415	0.186	0.928191643	0.000145315	0.000105077	1.571493405	1.01E-06	0.000149	NaN	18.8714
144	0.910103857	4.01E-05	0.006278	0.02	0.899968166	0.000119105	0.000112329	1.546062095	2.29E-06	6.34E-05	NaN	21.2773
145	0.728128419	7.09E-05	0.011007603	0.376	0.861361072	0.000158023	0.000108515	1.715196577	1.67E-06	0.00017	NaN	23.213
146	0.904482428	8.96E-05	0.0024335	0	0.932860188	0.000118731	0.000120742	1.670524228	8.80E-07	5.07E-05	NaN	20.2751
147	0.766863175	1.04E-05	0.0009665	0	0.89657286	0.000127144	0.000102383	1.607437571	3.40E-06	8.69E-05	NaN	23.0493
148	0.905566253	0.000105123	0.002954	0.091	0.781556887	0.000166595	0.000110401	1.587395716	8.35E-06	0.000161	NaN	29.5333
149	0.73461598	2.30E-06	0.0002885	0.183	0.925432957	0.000136182	0.000103236	1.561110068	2.06E-06	0.000126	NaN	21.6342
150	0.885465328	5.73E-05	0.035448501	0.079	0.880869573	0.000129403	0.000116848	1.283725461	1.48E-06	6.07E-05	NaN	20.5883
151	0.921933934	1.67E-05	0.017230501	0.382	0.755667682	0.000159752	0.000103805	1.540435801	3.37E-05	0.000769	NaN	36.4071
