PointArng, TriangleSize, Extension, Spread, Limit, PerpSym, ParallelSym, OrthoNorm, Volume,GraspIt_Volume,GraspIt_Epsilon,GraspIt_ContactEnergy,GraspIt_AutograspQuality,Succ_Rate
0,0,0.014733501,0.235,1.094137199,0.000155163,0.000184886,1.577631497,9.31E-06,0,-1.00E+05,26.0311,1.00E+07,1
0,0,0.219871506,0.144,0.872169102,0.000148928,0.000195468,1.389730028,7.20E-08,0.00051,-2.00E+05,30.4567,2.00E+07,1
0.869489857,0.000110856,0.024813501,0.802,0.805536232,0.00019071,0.000163586,1.537523762,1.30E-05,0.000536,-2.00E+05,55.7389,2.00E+07,0.6
5.03E-09,-7.35E-18,0.0042395,0,1.075038606,0.000141515,0.00015007,1.461227598,0,1.56E-05,-2.00E+05,25.9587,2.00E+07,1
0.081869348,1.31E-05,0.008192,0.286,1.024109024,0.000147179,0.000133907,1.567977973,1.36E-07,0.000266,-2.00E+05,26.8859,2.00E+07,1
0.261661506,1.01E-05,0.000422,2.22E-16,1.137215139,0.000133847,0.000146344,1.592287385,5.16E-13,4.08E-06,-2.00E+05,24.9105,2.00E+07,1
0.393484992,5.31E-05,0.019242001,2.22E-16,0.957476153,0.000169731,0.000136052,1.505441689,4.23E-06,4.39E-05,-2.00E+05,30.1618,2.00E+07,1
0.861890443,1.19E-05,0.027146001,0.183,0.842460179,0.000155792,0.000147563,1.342619339,5.15E-06,0.000189,-2.00E+05,35.5732,2.00E+07,1
0,0.000500548,0.266646507,0.1273,0.798745621,0.000194887,0.000288653,1.601616727,4.82E-16,0.00081,-2.00E+05,32.1039,2.00E+07,1
0.00017815,2.14E-08,0.0061685,2.22E-16,1.066762549,0.000105534,0.000157293,1.448845284,9.41E-14,1.80E-05,-2.00E+05,25.9124,2.00E+07,1
